iter	Accuracy	Logloss
476	0.8584591834	0.3485815683
477	0.858488622	0.3485216524
478	0.858488622	0.3484704297
479	0.8585548588	0.3484214455
480	0.8586063764	0.3483660649
481	0.8585842974	0.3483140575
482	0.8585916571	0.3482500303
483	0.8585916571	0.3482076865
484	0.8586726133	0.3481626943
485	0.8587167712	0.3481211782
486	0.8587903677	0.3480592749
487	0.8587756484	0.3480122451
488	0.858783008	0.3479609926
489	0.858805087	0.347896437
490	0.8588124466	0.3478515877
491	0.8588345256	0.3477961516
492	0.8588345256	0.3477447635
493	0.8589375607	0.3476930577
494	0.8589449204	0.3476531974
495	0.8589669993	0.3476075912
496	0.8589375607	0.347556658
497	0.8589890783	0.3474823847
498	0.8590626748	0.3474330436
499	0.8591141924	0.3473606427
500	0.8591362713	0.3473145211
501	0.8591289117	0.3472576951
502	0.8591509906	0.3472013485
503	0.8591509906	0.3471731498
504	0.8592245871	0.3471180964
505	0.8592540257	0.3470491842
506	0.8592172275	0.347004561
507	0.8592761047	0.3469694327
508	0.8593202626	0.3469145284
509	0.8593570608	0.3468622051
510	0.8592981836	0.3467988224
511	0.8593129029	0.3467499523
512	0.8593055433	0.3467028689
513	0.8593570608	0.3466466785
514	0.8593864995	0.3465984512
515	0.8594232977	0.3465396413
516	0.8594232977	0.3465037238
517	0.8594232977	0.3464623354
518	0.8594306574	0.3464156177
519	0.8594453767	0.346373354
520	0.8594748153	0.3463263666
521	0.8594674556	0.34627953
522	0.8594895346	0.3462273241
523	0.8594895346	0.3461758336
524	0.8594968942	0.3461348885
525	0.8595484118	0.3461013773
526	0.8595778504	0.3460662689
527	0.8595999293	0.3460228464
528	0.85958521	0.3459657695
529	0.8595999293	0.3459402589
530	0.8595999293	0.3458878898
531	0.8596440873	0.3458340661
532	0.8596882452	0.3457886891
533	0.8596882452	0.3457472849
534	0.8597029645	0.3457184701
535	0.8597176838	0.3456561442
536	0.8597618417	0.3456132704
537	0.8597912803	0.3455581129
538	0.8598207189	0.3455217965
539	0.8599016751	0.3454894355
540	0.8598795961	0.345442139
541	0.859923754	0.3453876144
542	0.859945833	0.3453326356
543	0.8599826312	0.3453053702
544	0.8599531926	0.3452373106
545	0.8600635874	0.3451905126
546	0.8600856663	0.3451466605
547	0.8601813418	0.3450759512
548	0.8601813418	0.3450189018
549	0.860240219	0.3449534218
550	0.8602917366	0.3448964212
551	0.8603138155	0.3448330472
552	0.8603064559	0.344788105
553	0.8603506138	0.3447358669
554	0.8603726927	0.3446767553
555	0.860409491	0.3446298458
556	0.860409491	0.3445737313
557	0.860409491	0.3445042692
558	0.8604462893	0.3444610483
559	0.8604683682	0.3444373443
560	0.8604610086	0.3443965758
561	0.8604610086	0.3443790809
562	0.8605051665	0.3443358387
563	0.8605714033	0.3442942928
564	0.8605125261	0.344260088
565	0.8605493244	0.3442216283
566	0.8605640437	0.3441689616
567	0.8606597192	0.3441139501
568	0.8606744385	0.3440677523
569	0.8607406753	0.3440161553
570	0.8607406753	0.3439721096
571	0.8607627543	0.3439201588
572	0.8607921929	0.3438610231
573	0.8607995525	0.3438216334
574	0.8608142718	0.3437756254
575	0.8608069122	0.3437092215
576	0.860873149	0.3436559443
577	0.860895228	0.3436201661
578	0.8609320263	0.3435758462
579	0.8609688245	0.3435345133
580	0.8609688245	0.3434910651
581	0.8610056228	0.3434583361
582	0.8610497807	0.3434120308
583	0.8610350614	0.3433431025
584	0.8610350614	0.3433096494
585	0.861042421	0.3432574845
586	0.8610939386	0.3431994541
587	0.8611307368	0.3431622986
588	0.8611748948	0.3431304065
589	0.8611675351	0.3430802893
590	0.8611675351	0.3430277285
591	0.8611748948	0.342981895
592	0.8612043334	0.3429584826
593	0.8612043334	0.3429469402
594	0.8611969737	0.3429132985
595	0.8612558509	0.3428725215
596	0.8613294474	0.3428325113
597	0.8613368071	0.3428126594
598	0.8613294474	0.3427767912
599	0.8613441667	0.3427450225
600	0.8613883246	0.3426924756
601	0.8613883246	0.3426642228
602	0.861403044	0.3426134022
603	0.8614324826	0.3425730373
604	0.8614619212	0.3425483311
605	0.8614840001	0.3424993855
606	0.8615355177	0.3424513135
607	0.8614692808	0.3424067342
608	0.8614913598	0.3423686874
609	0.8615134387	0.3423326089
610	0.8615207984	0.342282798
611	0.861550237	0.3422360609
612	0.8615575966	0.3421952643
613	0.8616091142	0.3421478492
614	0.8616238335	0.3421027974
615	0.8616679914	0.3420540519
616	0.8616753511	0.3419990047
617	0.8616753511	0.3419476471
618	0.8617121493	0.3419132886
619	0.8617047897	0.3418646887
620	0.8617121493	0.3418109762
621	0.8617857458	0.3417623748
622	0.8617710265	0.3417171249
623	0.8618078248	0.341666691
624	0.8618887809	0.3416264328
625	0.8619182196	0.3416017199
626	0.8619476582	0.3415621163
627	0.8619623775	0.3415301336
628	0.8619844564	0.3414911421
629	0.8619108599	0.3414526542
630	0.8619770968	0.3414202154
631	0.8619770968	0.3413938741
632	0.8619844564	0.3413472498
633	0.8620433336	0.341315091
634	0.8621095705	0.3412505234
635	0.8620727722	0.3412089223
636	0.8620948512	0.3411695061
637	0.8621169301	0.3411224397
638	0.8621316494	0.341078162
639	0.8622126056	0.3410226289
640	0.8622346846	0.3409917487
641	0.8622420442	0.340934111
642	0.8622494039	0.3408974655
643	0.8622420442	0.3408586465
644	0.8622567635	0.3408247333
645	0.8623156407	0.3407731458
